Nombre Entidad,NIT Entidad,Nivel,Orden,Municipio,Numero de Resolucion,Documento Contratista,Nombre Contratista,Numero de Contrato,Valor Sancion,Fecha de Publicacion,Fecha de Firmeza,Fecha de Cargue,Ruta de Proceso
CASANARE - INSTITUTO PARA EL DEPORTE Y LA RECREACIÓN DE YOPAL,800117801,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Yopal,910.30.176,74770149,GIOVANNI VLADIMIR NOCUA QUIJANO,910.12.016-2017,1215000,12/29/2017 12:00:00 AM,12/29/2017 12:00:00 AM,01/19/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26186615
CAUCA - ALCALDÍA MUNICIPIO DE POPAYÁN,891580006,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Popayán,20161800009924,10302818,JHON FREDY CHALARCA MORERA,2013223,160942,02/11/2016 12:00:00 AM,02/26/2016 12:00:00 AM,06/14/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183675
CAUCA - ALCALDÍA MUNICIPIO DE POPAYÁN,891580006,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Popayán,20161800026334,76319950,DIEGO FELIPE TORRES VALENCIA,20151420,5151343,03/17/2016 12:00:00 AM,03/17/2016 12:00:00 AM,06/16/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183682
CAUCA - ALCALDÍA MUNICIPIO DE POPAYÁN,891580006,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Popayán,20161800048834,800.167.494-4,ADA S.A.,20121800010847,157579736,05/19/2016 12:00:00 AM,06/29/2016 12:00:00 AM,07/22/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183833
CAUCA - ALCALDÍA MUNICIPIO DE PURACÉ,800099122-8,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Puracé,-,0,-,-,0,01/12/2017 12:00:00 AM,01/12/2017 12:00:00 AM,01/25/2017 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184937
CAUCA - ALCALDÍA MUNICIPIO DE SUAREZ,800117687-5,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suárez,01-01-03-17-2017,8050244924,CIMA SAS,F14-203-02-21-10-2015,9674636,03/01/2017 12:00:00 AM,03/01/2017 12:00:00 AM,03/03/2017 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26185135
CAUCA - COLEGIO DEL CAUCA - POPAYÁN,900337274,TERRITORIAL,NACIONAL DESCENTRALIZADO,Popayán,931,900097672-0,TEGUIA S.A.S.,095,1430000,12/13/2013 12:00:00 AM,12/30/2013 12:00:00 AM,01/16/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618101
CAUCA - HOSPITAL UNIVERSITARIO SAN JOSÉ DE POPAYÁN,891580002,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Popayán,410,25280921,COMERCIALIZADORA Y REPRESENTACIONES MAYORISTAS,92,1772568,06/24/2013 12:00:00 AM,06/24/2013 12:00:00 AM,03/04/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181883
CESAR - ALCALDÍA MUNICIPIO DE CHIRIGUANÁ,800096585,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Chiriguaná,393,900333034-4,UNION TEMPORAL CHIRIGUANA 2009,004,1150458000,07/25/2013 12:00:00 AM,08/25/2013 12:00:00 AM,12/31/2013 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261841
CESAR - ALCALDÍA MUNICIPIO DE EL PASO,800096592,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,El Paso,055-2013,900475774,CONSORCIO FORTALECIMIENTO ESCOLAR,102-2011,37998501,02/22/2013 12:00:00 AM,01/22/2014 12:00:00 AM,01/13/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261884
CESAR - ALCALDÍA MUNICIPIO DE EL PASO,800096592,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,El Paso,056-2013,9004757745,CONSORCIO FORTALECIMIENTO ESCOLAR,102-2011,37998501,02/22/2013 12:00:00 AM,02/22/2013 12:00:00 AM,01/13/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261885
CESAR - ALCALDÍA MUNICIPIO DE EL PASO,800096592,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,El Paso,060-2013,22745524,ROSA TERESA COTES BERMUDEZ,356-2009,112963652,02/26/2013 12:00:00 AM,02/26/2013 12:00:00 AM,01/13/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261881
CESAR - ALCALDÍA MUNICIPIO DE EL PASO,800096592,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,El Paso,060-2013,8250007483,ASOCIACION DE MUNICIPIOS DEL SUR DE LA GUAJIRA,356-2009,112963652,02/26/2013 12:00:00 AM,02/26/2013 12:00:00 AM,01/13/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261882
CESAR - ALCALDÍA MUNICIPIO DE EL PASO,800096592,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,El Paso,071-2013,8060115532,COOPERATIVA COLOMBIANA DEL COMERCIO COOPCOL,191-1-2010,9992124,03/05/2013 12:00:00 AM,03/05/2013 12:00:00 AM,01/13/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261883
CESAR - ALCALDÍA MUNICIPIO DE LA GLORIA,800096599,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,La Gloria,RESOLUCIÓN 112 DE 2017,91272456-2,UT LA MATA AA LA MATA,CONTRATO DE OBRA 005 DE 2015,52187746,03/28/2017 12:00:00 AM,03/28/2017 12:00:00 AM,05/15/2017 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26185605
CESAR - ALCALDÍA MUNICIPIO DE LA GLORIA,800096599,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,La Gloria,RESOLUCIÓN 115 DE 2017,900243297-8,INGESARA LTDA,CONTRATO DE INTERVENTORIA 003 DE 2015,44471313,03/23/2017 12:00:00 AM,03/23/2017 12:00:00 AM,05/15/2017 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26185619
CESAR - ALCALDÍA MUNICIPIO DE LA GLORIA,800096599,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,La Gloria,RESOLUCIÓN 121 DE 2017,900.243.297-8,INGESARA LTDA,CONTRATO DE INTERVENTORIA 003 DE 2015,3577024,03/28/2017 12:00:00 AM,03/28/2017 12:00:00 AM,05/16/2017 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26185620
CESAR - ALCALDÍA MUNICIPIO DE PELAYA,800096613,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Pelaya,RESOLUCION 220-2014,8020195201,OLT LOGISTICS S.A.S,0022-2014,64400000,07/10/2014 12:00:00 AM,07/15/2014 12:00:00 AM,08/22/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181060
CESAR - ALCALDÍA MUNICIPIO DE PELAYA,800096613,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Pelaya,RESOLUCION 271-2014,8020195201,OLT LOGISTICS SAS,CONTRATO 022 DE 2014,579600000,08/21/2014 12:00:00 AM,08/26/2014 12:00:00 AM,11/05/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181405
CESAR - ALCALDÍA MUNICIPIO DE PELAYA,800096613,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Pelaya,RESOLUCION 274-2014,9006925638,CONSORCIO ASFALTAR,CONTRATO 023 DE 2014,176400000,08/26/2014 12:00:00 AM,09/02/2014 12:00:00 AM,11/05/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181406
CESAR - ALCALDÍA MUNICIPIO DE PELAYA,800096613,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Pelaya,RESOLUCION 277-2014,9006925638,CONSORCIO ASFALTAR,0023-2014,19600000,07/15/2014 12:00:00 AM,07/15/2014 12:00:00 AM,08/22/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181058
CESAR - ALCALDÍA MUNICIPIO DE PELAYA,800096613,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Pelaya,RESOLUCION 312 - 2014,9006925638,CONSORCIO ASFALTAR,CONTRATO 023 DE 2014,392000000,09/29/2014 12:00:00 AM,09/30/2014 12:00:00 AM,11/05/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181407
CESAR - ALCALDÍA MUNICIPIO DE PELAYA,800096613,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Pelaya,RESOLUCION 355 - 2014,8020195201,OLT LOGISTICS SAS,CONTRATO 022 DE 2014,1288000000,10/22/2014 12:00:00 AM,10/22/2014 12:00:00 AM,11/05/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181408
CESAR - HOSPITAL LOCAL DE CURUMANÍ CRISTIAN MORENO PALLARES,824000426,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Curumaní,RESOLUCION 071 DE 2016,77102847,NIXON SALAZAR JIMENEZ,CONTRATO PRESTACION DE SERVICIOS 058 DE 2016,0,07/18/2016 12:00:00 AM,07/30/2016 12:00:00 AM,02/15/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188121
CHOCÓ - ALCALDÍA MUNICIPIO DE MEDIO ATRATO,818000941,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Medio Atrato,041,81800941,MUNICIPIO DEL MEDIO ATRATO,MC-01-2014,0,06/03/2014 12:00:00 AM,06/03/2014 12:00:00 AM,06/03/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618748
COLJUEGOS - EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO ADMINISTRADORA DEL MONOPOLIO RENTÍSTICO DE LOS JUEGOS DE SUERTE Y AZAR,900505060,NACIONAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Bogotá D.C.,20162000007504,0,0,0,0,04/07/2016 12:00:00 AM,04/07/2016 12:00:00 AM,04/22/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183419
COMPUTADORES PARA EDUCAR,830079479,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,112-14,890804378,DATAPOINT DE COLOMBIA SAS,108-12,313936044,06/12/2014 12:00:00 AM,06/12/2014 12:00:00 AM,10/30/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182854
COMPUTADORES PARA EDUCAR,830079479,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,189-14,890804378,DATAPOINT DE COLOMBIA SAS,108-12,1336817055,10/17/2014 12:00:00 AM,10/17/2014 12:00:00 AM,10/30/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182855
CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR),899999067,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,005075,8738406,NESTOR EMILIO VARGAS MANOTAS,CGR 062-12,3000000,05/29/2014 12:00:00 AM,05/29/2014 12:00:00 AM,06/19/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618824
CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR),899999067,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,3190,8908043789,DATAPOINT DE COLOMBIA S.A.S.,CGR 307-13,11133740,04/21/2014 12:00:00 AM,04/21/2014 12:00:00 AM,04/23/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618545
CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR),899999067,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,396,9003839144,HMS INGENIERIA S.AS.,CGR 508-14,1250000,03/02/2015 12:00:00 AM,03/02/2015 12:00:00 AM,03/11/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181903
CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR),899999067,NACIONAL,NACIONAL CENTRALIZADO,Cartagena,007780,45559787,BRENDA BALLESTAS BARON,CGR 092-11,2079000,09/23/2014 12:00:00 AM,10/02/2014 12:00:00 AM,10/07/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181298
CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR),899999067,NACIONAL,NACIONAL CENTRALIZADO,Quibdó,0015-14,8999990633,UNIVERSIDAD NACIONAL DE COLOMBIA,CGR 550-12,55189121,05/21/2014 12:00:00 AM,05/08/2014 12:00:00 AM,06/03/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618747
CORANTIOQUIA - CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA,811000231,NACIONAL,NACIONAL DESCENTRALIZADO,Angostura,110-1412-20536,890942987,ROTOPLAST S.A.,9860,2439576231,12/30/2014 12:00:00 AM,12/30/2014 12:00:00 AM,02/18/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181783
CORANTIOQUIA - CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA,811000231,NACIONAL,NACIONAL DESCENTRALIZADO,Angostura,110-1412-20536,890942987,ROTOPLAST S.A.,9902,781143527,12/30/2014 12:00:00 AM,12/30/2014 12:00:00 AM,02/18/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181784
CÓRDOBA - ALCALDÍA MUNICIPIO DE MONTERÍA,890000858-1,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Montería,RESOLUCION. 0157 DE 2018,84054896,SUPER MUEBLES ORIENTE -JAVIER HERNANDO LOPERA MART,548-2017,50020000,04/20/2018 12:00:00 AM,05/18/2018 12:00:00 AM,07/09/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26187256
CORNARE - CORPORACIÓN AUTÓNOMA REGIONAL DE LAS CUENCAS DE RÍOS NEGRO Y NARE,No Definido,NACIONAL,NACIONAL DESCENTRALIZADO,El Santuario,112-1105-2017,900317581,ENRUTAMOS SAS,228-2016,2376750,03/24/2017 12:00:00 AM,03/27/2017 12:00:00 AM,03/27/2017 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26185338
CORPOBOYACÁ - CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ,800252843,NACIONAL,NACIONAL DESCENTRALIZADO,Tunja,0746,901340436,CONSORCIO INTERVENTORIAS TUNJA,CCC 2019306,1026553,04/25/2023 12:00:00 AM,05/03/2023 12:00:00 AM,05/05/2023 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811368
CORPOBOYACÁ - CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ,800252843,NACIONAL,NACIONAL DESCENTRALIZADO,Tunja,729,8000212618,STEFANINI SYSMAN S.A.S,CDS 2020-424,12916744,05/06/2022 12:00:00 AM,05/20/2022 12:00:00 AM,05/25/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811020
CORPOBOYACÁ - CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ,800252843,NACIONAL,NACIONAL DESCENTRALIZADO,Tunja,828,901340436,CONSORCIO INTERVENTORIAS TUNJA,CCC 2019306,1026553,04/25/2023 12:00:00 AM,05/03/2023 12:00:00 AM,05/05/2023 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811369
CORPOBOYACÁ - CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ,800252843,NACIONAL,NACIONAL DESCENTRALIZADO,Tunja,859,800021261,STEFANINI SYSMAN S.A.S,CDS 2017-215,3120000,06/08/2020 12:00:00 AM,06/23/2020 12:00:00 AM,08/24/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189718
CORPOBOYACÁ - CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ,800252843,NACIONAL,NACIONAL DESCENTRALIZADO,Tunja,869,8000212618,STEFANINI SYSMAN S.A.S,CDS 2020-424,12916744,05/23/2022 12:00:00 AM,05/24/2022 12:00:00 AM,05/25/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811022
CORPOBOYACÁ - CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ,800252843,NACIONAL,NACIONAL DESCENTRALIZADO,Tunja,869,8000212618,STEFANINI SYSMAN S.A.S,CDS 2020-424,12916744,05/23/2022 12:00:00 AM,05/24/2022 12:00:00 AM,05/25/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811023
CORPONARIÑO - CORPORACIÓN AUTÓNOMA REGIONAL DE NARIÑO,891222322,NACIONAL,NACIONAL DESCENTRALIZADO,Barbacoas,1036,8000990617,MUNICIPIO DE BARBACOAS,350 DE 2016,885000,09/25/2018 12:00:00 AM,10/25/2018 12:00:00 AM,10/09/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26187716
CORPONARIÑO - CORPORACIÓN AUTÓNOMA REGIONAL DE NARIÑO,891222322,NACIONAL,NACIONAL DESCENTRALIZADO,Chachagüí,1180,8001999594,MUNICIPIO DE CHACHAGUI,2017-446,10000000,10/22/2018 12:00:00 AM,10/24/2018 12:00:00 AM,02/07/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188076
CORPONARIÑO - CORPORACIÓN AUTÓNOMA REGIONAL DE NARIÑO,891222322,NACIONAL,NACIONAL DESCENTRALIZADO,Gualmatán,RESOLUCION 314,8140002364,I EDUCATIVA TECNICA PROMOCION SOCIAL MPIO GUALMATA,2013-235,390000,05/15/2014 12:00:00 AM,05/15/2014 12:00:00 AM,06/11/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618798
CORPONARIÑO - CORPORACIÓN AUTÓNOMA REGIONAL DE NARIÑO,891222322,NACIONAL,NACIONAL DESCENTRALIZADO,Ipiales,RESOLUCION 318,8000990957,MUNICIPIO DE IPIALES,2013-237,638000,05/19/2014 12:00:00 AM,05/19/2014 12:00:00 AM,06/11/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618799
CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO,832000171,NACIONAL,NACIONAL DESCENTRALIZADO,Gachalá,RESOLUCION 975 DE 2017,800185395-1,ADEAN GEOLOGICAL SEVICES LTDA,200-12-04-187,21573877,11/30/2017 12:00:00 AM,03/07/2018 12:00:00 AM,03/20/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26186895
CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO,832000171,NACIONAL,NACIONAL DESCENTRALIZADO,Gachalá,RESOLUCION 975 DE 2017,800185395-1,ADEAN GEOLOGICAL SEVICES LTDA,200-12-04-187,21573877,11/30/2017 12:00:00 AM,03/07/2018 12:00:00 AM,03/20/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26186896
CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO,832000171,NACIONAL,NACIONAL DESCENTRALIZADO,Gachalá,RESOLUCION 976 DE 2017,800185395-1,ADEAN GEOLOGICAL SEVICES LTDA,200-12-04-188,26679643,11/30/2017 12:00:00 AM,03/07/2018 12:00:00 AM,03/20/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26186897
CORPORINOQUÍA - CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA,832000283,NACIONAL,NACIONAL DESCENTRALIZADO,Arauquita,100-41-14-0115,9000395155,FUNDACION PARA EL DESARROLLO SOCIAL COMUNITARIO,100-14-4-11-486,102560192,01/29/2014 12:00:00 AM,02/07/2014 12:00:00 AM,02/07/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618181
CORPORINOQUÍA - CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA,832000283,NACIONAL,NACIONAL DESCENTRALIZADO,Arauquita,100-41-14-0149,9000395155,FUNDACION PARA EL DESARROLLO SOCIAL COMUNITARIO,100-14-4-11-486,102560192,02/07/2014 12:00:00 AM,02/07/2014 12:00:00 AM,02/07/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618182
CORPORINOQUÍA - CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA,832000283,NACIONAL,NACIONAL DESCENTRALIZADO,Yopal,120-36-18-0178,901037682,CONSORCIO ASECOINT GT S.A.S.,100-14-2-16-565,13152633,02/12/2018 12:00:00 AM,05/08/2018 12:00:00 AM,09/03/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26187536
CORPORINOQUÍA - CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA,832000283,NACIONAL,NACIONAL DESCENTRALIZADO,Yopal,120-36-19-1334,79382169,GERMAN ORLANDO BERNAL REYES,200-14-4-15-262,1120306,08/02/2019 12:00:00 AM,08/02/2019 12:00:00 AM,12/06/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189158
CORTOLIMA - CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA,890704536,NACIONAL,NACIONAL DESCENTRALIZADO,Ibagué,Resolución No.1460 del 08 de Julio de 2013,93380691,YIMI ARCINIEGAS,CTO 319 DE 2010,6034875,07/08/2013 12:00:00 AM,01/21/2015 12:00:00 AM,09/04/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182611
CORTOLIMA - CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA,890704536,NACIONAL,NACIONAL DESCENTRALIZADO,Ibagué,Resolución No.1788 del 17 de Julio de 2015,1110456896,CHRISTIAN CAMILO REYES PALMA,CTO 661 DEL 31 DE DICIEMBRE DE 2014,945000,07/17/2015 12:00:00 AM,08/11/2015 12:00:00 AM,09/04/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182619
CORTOLIMA - CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA,890704536,NACIONAL,NACIONAL DESCENTRALIZADO,Ibagué,Resolución No.2667 del 05 de Noviembre de 2014,93405374,EDWIN SANTAMARIA ALDANA,CTO 587 DEL 30 DE DICIEMBRE DE 2011,10721123,11/05/2014 12:00:00 AM,03/06/2015 12:00:00 AM,09/04/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182618
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,890680097,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Anapoima,001-2021,901172892,CONSORCIO ALCANTARILLADO ANAPOIMA SVE,139-2018,101273806,11/18/2021 12:00:00 AM,11/18/2021 12:00:00 AM,04/11/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810978
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,891500864-5,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Cajicá,RESOLUCIÓN 409 DE 2021,9013114529,CONSORCIO AGROCOL,COP-010-2019,82256687,09/23/2021 12:00:00 AM,03/11/2022 12:00:00 AM,03/24/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810938
BOLIVAR - GOBERNACIÓN,890480059-1,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Magangué,7784-2015,9085974,CORVIAMBIENTE,071-2009,417886917,07/07/2015 12:00:00 AM,07/21/2015 12:00:00 AM,09/10/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182651
BOLIVAR - GOBERNACIÓN,890480059-1,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Magangué,900 de 2015,9085974,CORVIAMBIENTE,071-2009,101408383,08/14/2015 12:00:00 AM,08/14/2015 12:00:00 AM,09/10/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182650
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,891500864-5,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Cajicá,RESOLUCION 464 DE 2013,900395373,FUNDACION TECNOLOGICA FORMARTE,CPS 267 DE 2011,15450000,07/24/2013 12:00:00 AM,07/24/2013 12:00:00 AM,01/28/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618121
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GUACHETÁ,899999362,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Guachetá,R 021-2015,8600013570,CAJA DE COMPENSACION FAMILIAR CAFAM,R 021-2015,0,01/09/2015 12:00:00 AM,01/09/2015 12:00:00 AM,03/06/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181885
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE MOSQUERA,800099111-7,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,Mosquera,RESOLUCIÓN Nº 808 DE 2015,900557798,FINI S.A.S,C.P.S-501 DE 2015,1067430,09/15/2015 12:00:00 AM,09/15/2015 12:00:00 AM,09/15/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182666
